49
0	630	345	270
0	360	420	180
0	450	165	180
1	360	90	270
1	450	90	270
1	525	90	180
1	600	90	0
1	705	120	0
1	780	120	0
2	885	90	270
2	975	90	180
4	375	165	270
5	525	165	180
5	525	90	270
5	705	195	90
6	780	195	90
6	855	195	90
6	975	195	270
6	900	345	270
3	555	345	270
3	435	270	270
2	555	270	0
2	630	270	270
2	705	270	180
2	825	270	270
2	900	270	270
1	975	270	180
1	1050	270	90
2	480	345	90
2	540	450	0
2	630	345	180
2	705	345	180
3	810	390	270
3	885	390	0
3	975	345	180
4	780	345	90
7	345	540	0
5	435	450	180
5	615	450	90
5	705	450	270
4	795	450	90
4	885	465	0
4	960	465	0
1	345	540	180
2	630	570	270
2	705	540	90
3	795	540	90
3	885	540	0
4	960	540	90

#Wires:
